14.4928 	WARNING 	Movie2 stim could not be imported and won't be available
83.3349 	DATA 	Keypress: 5
83.3899 	Level Condition: 1 	25
83.4029 	Level image=bottled_water.jpg 	25
85.3678 	Level injecting via pump at address 1 	25
87.3757 	DATA 	Keypress: 5
87.3761 	DATA 	Keypress: 5
87.3764 	DATA 	Keypress: 5
91.3811 	DATA 	Keypress: 5
91.3814 	DATA 	Keypress: 5
91.3817 	DATA 	Keypress: 5
93.3674 	DATA 	Keypress: 5
93.3677 	DATA 	Keypress: 5
93.3755 	Level Condition: 2 	25
93.3787 	Level image=tampico.jpg 	25
95.3651 	Level injecting via pump at address 1 	25
97.3766 	DATA 	Keypress: 5
97.3769 	DATA 	Keypress: 5
97.3772 	DATA 	Keypress: 5
97.3776 	DATA 	Keypress: 5
101.3801 	DATA 	Keypress: 5
101.3957 	DATA 	Keypress: 5
101.3961 	DATA 	Keypress: 5
103.3672 	DATA 	Keypress: 5
103.3675 	DATA 	Keypress: 5
103.3813 	Level Condition: 2 	25
103.3854 	Level image=tampico.jpg 	25
105.3651 	Level injecting via pump at address 1 	25
107.3772 	DATA 	Keypress: 5
107.3776 	DATA 	Keypress: 5
107.3778 	DATA 	Keypress: 5
111.3806 	DATA 	Keypress: 5
111.3810 	DATA 	Keypress: 5
111.3813 	DATA 	Keypress: 5
111.3816 	DATA 	Keypress: 5
113.3673 	DATA 	Keypress: 5
113.3797 	Level Condition: 0 	25
113.3851 	Level image=bottled_water.jpg 	25
115.3651 	Level injecting via pump at address 0 	25
117.3892 	DATA 	Keypress: 5
117.3897 	DATA 	Keypress: 5
117.3900 	DATA 	Keypress: 5
117.3905 	DATA 	Keypress: 5
121.3800 	DATA 	Keypress: 5
121.3804 	DATA 	Keypress: 5
121.3808 	DATA 	Keypress: 5
123.3678 	DATA 	Keypress: 5
123.3682 	DATA 	Keypress: 5
123.3794 	Level Condition: 3 	25
123.3827 	Level image=tampico.jpg 	25
125.3651 	Level injecting via pump at address 0 	25
127.3766 	DATA 	Keypress: 5
127.3770 	DATA 	Keypress: 5
127.3772 	DATA 	Keypress: 5
131.3805 	DATA 	Keypress: 5
131.3808 	DATA 	Keypress: 5
131.3811 	DATA 	Keypress: 5
131.3814 	DATA 	Keypress: 5
133.3674 	DATA 	Keypress: 5
133.3700 	DATA 	Keypress: 5
133.3816 	Level Condition: 0 	25
133.3871 	Level image=bottled_water.jpg 	25
135.3651 	Level injecting via pump at address 0 	25
137.3778 	DATA 	Keypress: 5
137.3782 	DATA 	Keypress: 5
137.3784 	DATA 	Keypress: 5
141.3868 	DATA 	Keypress: 5
141.3872 	DATA 	Keypress: 5
141.3874 	DATA 	Keypress: 5
141.3877 	DATA 	Keypress: 5
143.3675 	DATA 	Keypress: 5
143.3840 	Level Condition: 0 	25
143.3899 	Level image=bottled_water.jpg 	25
145.3652 	Level injecting via pump at address 0 	25
147.3765 	DATA 	Keypress: 5
147.3768 	DATA 	Keypress: 5
147.3771 	DATA 	Keypress: 5
147.3775 	DATA 	Keypress: 5
151.3806 	DATA 	Keypress: 5
151.3884 	DATA 	Keypress: 5
151.3888 	DATA 	Keypress: 5
153.3674 	DATA 	Keypress: 5
153.3677 	DATA 	Keypress: 5
153.3847 	Level Condition: 2 	25
153.3885 	Level image=tampico.jpg 	25
155.3651 	Level injecting via pump at address 1 	25
157.3767 	DATA 	Keypress: 5
157.3771 	DATA 	Keypress: 5
157.3773 	DATA 	Keypress: 5
161.3804 	DATA 	Keypress: 5
161.3807 	DATA 	Keypress: 5
161.3810 	DATA 	Keypress: 5
161.3813 	DATA 	Keypress: 5
163.3673 	DATA 	Keypress: 5
163.3756 	Level Condition: 0 	25
163.3807 	Level image=bottled_water.jpg 	25
163.4037 	DATA 	Keypress: 5
