2606.2949 	DATA 	Keypress: 5
2606.3593 	Level Condition: 1 	25
2606.3667 	Level image=bottled_water.jpg 	25
2608.3194 	Level injecting via pump at address 1 	25
2616.3364 	Level Condition: 0 	25
2616.3435 	Level image=bottled_water.jpg 	25
2618.3151 	Level injecting via pump at address 0 	25
2626.3299 	Level Condition: 2 	25
2626.3329 	Level image=tampico.jpg 	25
2628.3149 	Level injecting via pump at address 1 	25
2636.3413 	Level Condition: 0 	25
2636.3483 	Level image=bottled_water.jpg 	25
2638.3149 	Level injecting via pump at address 0 	25
2646.3377 	Level Condition: 0 	25
2646.3423 	Level image=bottled_water.jpg 	25
2648.3149 	Level injecting via pump at address 0 	25
2656.3418 	Level Condition: 2 	25
2656.3447 	Level image=tampico.jpg 	25
2658.3152 	Level injecting via pump at address 1 	25
2666.3291 	Level Condition: 1 	25
2666.3358 	Level image=bottled_water.jpg 	25
2668.3150 	Level injecting via pump at address 1 	25
2676.3392 	Level Condition: 1 	25
2676.3462 	Level image=bottled_water.jpg 	25
2678.3151 	Level injecting via pump at address 1 	25
2686.3296 	Level Condition: 2 	25
2686.3336 	Level image=tampico.jpg 	25
2688.3150 	Level injecting via pump at address 1 	25
2696.3423 	Level Condition: 0 	25
2696.3502 	Level image=bottled_water.jpg 	25
2698.3149 	Level injecting via pump at address 0 	25
2706.3270 	Level Condition: 3 	25
2706.3302 	Level image=tampico.jpg 	25
2708.3150 	Level injecting via pump at address 0 	25
2716.3281 	Level Condition: 0 	25
2716.3334 	Level image=bottled_water.jpg 	25
2718.3151 	Level injecting via pump at address 0 	25
2726.3342 	Level Condition: 3 	25
2726.3388 	Level image=tampico.jpg 	25
2728.3150 	Level injecting via pump at address 0 	25
2736.3321 	Level Condition: 2 	25
2736.3365 	Level image=tampico.jpg 	25
2738.3151 	Level injecting via pump at address 1 	25
2746.3333 	Level Condition: 2 	25
2746.3367 	Level image=tampico.jpg 	25
2748.3149 	Level injecting via pump at address 1 	25
2756.3353 	Level Condition: 0 	25
2756.3424 	Level image=bottled_water.jpg 	25
2758.3149 	Level injecting via pump at address 0 	25
2766.3372 	Level Condition: 2 	25
2766.3408 	Level image=tampico.jpg 	25
2768.3149 	Level injecting via pump at address 1 	25
2776.3359 	Level Condition: 2 	25
2776.3392 	Level image=tampico.jpg 	25
2778.3149 	Level injecting via pump at address 1 	25
2786.3341 	Level Condition: 0 	25
2786.3434 	Level image=bottled_water.jpg 	25
2788.3149 	Level injecting via pump at address 0 	25
2796.3403 	Level Condition: 3 	25
2796.3441 	Level image=tampico.jpg 	25
2798.3150 	Level injecting via pump at address 0 	25
2806.3395 	Level Condition: 2 	25
2806.3440 	Level image=tampico.jpg 	25
2808.3150 	Level injecting via pump at address 1 	25
2816.3515 	Level Condition: 0 	25
2816.3575 	Level image=bottled_water.jpg 	25
2818.3149 	Level injecting via pump at address 0 	25
2826.3356 	Level Condition: 3 	25
2826.3394 	Level image=tampico.jpg 	25
2828.3149 	Level injecting via pump at address 0 	25
2836.3452 	Level Condition: 1 	25
2836.3517 	Level image=bottled_water.jpg 	25
2838.3149 	Level injecting via pump at address 1 	25
3417.8679 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
3422.1604 	DATA 	Keypress: 5
3422.2885 	Level Condition: 0 	25
3422.2972 	Level image=bottled_water.jpg 	25
3424.2372 	Level injecting via pump at address 0 	25
3432.2528 	Level Condition: 1 	25
3432.2582 	Level image=bottled_water.jpg 	25
3434.2239 	Level injecting via pump at address 1 	25
3442.2430 	Level Condition: 0 	25
3442.2494 	Level image=bottled_water.jpg 	25
3444.2236 	Level injecting via pump at address 0 	25
3452.2437 	Level Condition: 0 	25
3452.2493 	Level image=bottled_water.jpg 	25
3454.2236 	Level injecting via pump at address 0 	25
3462.2442 	Level Condition: 0 	25
3462.2501 	Level image=bottled_water.jpg 	25
3464.2234 	Level injecting via pump at address 0 	25
3472.2463 	Level Condition: 2 	25
3472.2505 	Level image=tampico.jpg 	25
3474.2235 	Level injecting via pump at address 1 	25
