1285.1115 	DATA 	Keypress: 5
1285.1868 	Level Condition: 1 	25
1285.1965 	Level image=bottled_water.jpg 	25
1287.1387 	Level injecting via pump at address 1 	25
1295.1523 	Level Condition: 0 	25
1295.1583 	Level image=bottled_water.jpg 	25
1297.1363 	Level injecting via pump at address 0 	25
1305.1513 	Level Condition: 2 	25
1305.1574 	Level image=tampico.jpg 	25
1307.1363 	Level injecting via pump at address 1 	25
1315.1429 	Level Condition: 0 	25
1315.1489 	Level image=bottled_water.jpg 	25
1317.1359 	Level injecting via pump at address 0 	25
1325.1447 	Level Condition: 2 	25
1325.1478 	Level image=tampico.jpg 	25
1327.1359 	Level injecting via pump at address 1 	25
1335.1434 	Level Condition: 0 	25
1335.1484 	Level image=bottled_water.jpg 	25
1337.1359 	Level injecting via pump at address 0 	25
1345.1431 	Level Condition: 3 	25
1345.1460 	Level image=tampico.jpg 	25
1347.1359 	Level injecting via pump at address 0 	25
1355.1609 	Level Condition: 3 	25
1355.1650 	Level image=tampico.jpg 	25
1357.1359 	Level injecting via pump at address 0 	25
1365.1432 	Level Condition: 3 	25
1365.1459 	Level image=tampico.jpg 	25
1367.1359 	Level injecting via pump at address 0 	25
1375.1439 	Level Condition: 0 	25
1375.1491 	Level image=bottled_water.jpg 	25
1377.1359 	Level injecting via pump at address 0 	25
1385.1431 	Level Condition: 0 	25
1385.1477 	Level image=bottled_water.jpg 	25
1387.1359 	Level injecting via pump at address 0 	25
1395.1428 	Level Condition: 2 	25
1395.1462 	Level image=tampico.jpg 	25
1397.1359 	Level injecting via pump at address 1 	25
1405.1515 	Level Condition: 2 	25
1405.1556 	Level image=tampico.jpg 	25
1407.1359 	Level injecting via pump at address 1 	25
1415.1438 	Level Condition: 2 	25
1415.1471 	Level image=tampico.jpg 	25
1417.1359 	Level injecting via pump at address 1 	25
1425.1432 	Level Condition: 0 	25
1425.1504 	Level image=bottled_water.jpg 	25
1427.1359 	Level injecting via pump at address 0 	25
1435.1444 	Level Condition: 0 	25
1435.1504 	Level image=bottled_water.jpg 	25
1437.1359 	Level injecting via pump at address 0 	25
1445.1448 	Level Condition: 1 	25
1445.1503 	Level image=bottled_water.jpg 	25
1447.1359 	Level injecting via pump at address 1 	25
1455.1553 	Level Condition: 2 	25
1455.1590 	Level image=tampico.jpg 	25
1457.1359 	Level injecting via pump at address 1 	25
1465.1443 	Level Condition: 2 	25
1465.1480 	Level image=tampico.jpg 	25
1467.1359 	Level injecting via pump at address 1 	25
1475.1441 	Level Condition: 1 	25
1475.1501 	Level image=bottled_water.jpg 	25
1477.1359 	Level injecting via pump at address 1 	25
1485.1441 	Level Condition: 3 	25
1485.1472 	Level image=tampico.jpg 	25
